start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location,location_code,id
2026-02-12T13:45:00+01:00,2026-02-12T14:15:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,0,Men's Snowboard Cross 1/8 Finals,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------8FNL--------
2026-02-12T14:03:00+01:00,2026-02-12T14:59:00+01:00,2026-02-12,FINISHED,Bobsleigh,BOB,2-man,0,2-man Official Training,M,TEAM,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,BOBMTEAM2-------------TRNO000200--
2026-02-12T14:05:00+01:00,2026-02-12T17:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet A,CUA,CURMTEAM4-------------PREL000201--
2026-02-12T14:05:00+01:00,2026-02-12T17:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet B,CUB,CURMTEAM4-------------PREL000202--
2026-02-12T14:05:00+01:00,2026-02-12T17:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Men,0,Men's Round Robin,M,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet C,CUC,CURMTEAM4-------------PREL000203--
2026-02-12T14:18:00+01:00,2026-02-12T14:36:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,0,Men's Snowboard Cross Quarterfinals,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------QFNL--------
2026-02-12T14:30:00+01:00,2026-02-12T17:00:00+01:00,2026-02-12,FINISHED,Ice Hockey,IHO,Women,0,Women's Preliminary Round - Group A,W,TEAM,Milano Rho Ice Hockey Arena,MH2,Milano Rho Ice Hockey Arena,MH2,IHOWTEAM6-------------GPA-000200--
2026-02-12T14:39:00+01:00,2026-02-12T14:49:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,0,Men's Snowboard Cross Semifinals,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------SFNL--------
2026-02-12T14:56:00+01:00,2026-02-12T15:01:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,0,Men's Snowboard Cross Finals,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------FNL-000200--
2026-02-12T15:01:00+01:00,2026-02-12T15:06:00+01:00,2026-02-12,FINISHED,Snowboard,SBD,Men's Snowboard Cross,1,Men's Snowboard Cross Finals,M,INDV,Livigno Snow Park,LSP,Livigno Snow Park-Cross,LSX,SBDMSBX---------------FNL-000100--
2026-02-12T15:30:00+01:00,2026-02-12T16:20:00+01:00,2026-02-12,FINISHED,Bobsleigh,BOB,Women's Monobob,0,Women's Monobob Official Training,W,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,BOBWMONO--------------TRNO000100--
2026-02-12T16:30:00+01:00,2026-02-12T17:46:00+01:00,2026-02-12,FINISHED,Speed Skating,SSK,Women's 5000m,1,Women's 5000m,W,INDV,Milano Speed Skating Stadium,MSS,Milano Speed Skating Stadium,MSS,SSKW5000M-------------FNL-000100--
2026-02-12T16:34:00+01:00,2026-02-12T17:24:00+01:00,2026-02-12,FINISHED,Bobsleigh,BOB,Women's Monobob,0,Women's Monobob Official Training,W,INDV,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,BOBWMONO--------------TRNO000200--
2026-02-12T16:40:00+01:00,2026-02-12T19:10:00+01:00,2026-02-12,FINISHED,Ice Hockey,IHO,Men,0,Men's Preliminary Round - Group A,M,TEAM,Milano Santagiulia Ice Hockey Arena,MH1,Milano Santagiulia Ice Hockey Arena,MH1,IHOMTEAM6-------------GPA-000200--
2026-02-12T17:00:00+01:00,2026-02-12T19:00:00+01:00,2026-02-12,FINISHED,Ski Jumping,SJP,Women's Large Hill,0,Women's LH Training,W,INDV,Predazzo Ski Jumping Stadium,PSJ,Predazzo Ski Jumping-Large Hill,PLH,SJPWLHTRAIN-----------TRNO0100SJ--
2026-02-12T18:30:00+01:00,2026-02-12T19:25:00+01:00,2026-02-12,FINISHED,Luge,LUG,Team Relay,1,Team Relay Competition,X,DGRP,Cortina Sliding Centre,CSC,Cortina Sliding Centre,CSC,LUGXRELAY6------------FNL-000100--
2026-02-12T19:05:00+01:00,2026-02-12T22:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet A,CUA,CURWTEAM4-------------PREL000201--
2026-02-12T19:05:00+01:00,2026-02-12T22:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet B,CUB,CURWTEAM4-------------PREL000202--
2026-02-12T19:05:00+01:00,2026-02-12T22:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet C,CUC,CURWTEAM4-------------PREL000203--
2026-02-12T19:05:00+01:00,2026-02-12T22:00:00+01:00,2026-02-12,FINISHED,Curling,CUR,Women,0,Women's Round Robin,W,TEAM,Cortina Curling Olympic Stadium,CCU,Cortina Curling Olympic Stadium- Sheet D,CUD,CURWTEAM4-------------PREL000204--
